Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area,Region.1
Andhra Pradesh,2019-05-31, Monthly,3.65,11999139.0,43.24,Rural,
Andhra Pradesh,2019-06-30, Monthly,3.05,11755881.0,42.05,Rural,
Andhra Pradesh,2019-07-31, Monthly,3.75,12086707.0,43.5,Rural,
Andhra Pradesh,2019-08-31, Monthly,3.32,12285693.0,43.97,Rural,
Andhra Pradesh,2019-09-30, Monthly,5.17,12256762.0,44.68,Rural,
Andhra Pradesh,2019-10-31, Monthly,3.52,12017412.0,43.01,Rural,
Andhra Pradesh,2019-11-30, Monthly,4.12,11397681.0,41.0,Rural,
Andhra Pradesh,2019-12-31, Monthly,4.38,12528395.0,45.14,Rural,
Assam,2019-05-31, Monthly,4.29,11749334.0,57.39,Rural,
Assam,2019-06-30, Monthly,5.08,8923222.0,43.87,Rural,
Assam,2019-07-31, Monthly,4.26,9911534.0,48.21,Rural,
Assam,2019-08-31, Monthly,5.79,9292039.0,45.83,Rural,
Assam,2019-09-30, Monthly,4.46,11468349.0,55.67,Rural,
Assam,2019-10-31, Monthly,4.65,8395906.0,40.76,Rural,
Assam,2019-11-30, Monthly,4.66,9625362.0,46.64,Rural,
Bihar,2019-05-31, Monthly,9.27,24322330.0,39.75,Rural,
Bihar,2019-06-30, Monthly,10.2,24097712.0,39.71,Rural,
Bihar,2019-07-31, Monthly,13.44,23248875.0,39.66,Rural,
Bihar,2019-08-31, Monthly,11.0,22260203.0,36.85,Rural,
Bihar,2019-09-30, Monthly,8.87,23905700.0,38.57,Rural,
Bihar,2019-10-31, Monthly,12.47,24053140.0,40.31,Rural,
Bihar,2019-11-30, Monthly,12.4,22445989.0,37.51,Rural,
Bihar,2019-12-31, Monthly,10.16,22914530.0,37.25,Rural,
Chhattisgarh,2019-05-31, Monthly,9.82,6259019.0,42.89,Rural,
Chhattisgarh,2019-06-30, Monthly,6.76,6608626.0,43.71,Rural,
Chhattisgarh,2019-07-31, Monthly,4.54,6753622.0,43.53,Rural,
Chhattisgarh,2019-08-31, Monthly,4.64,6607694.0,42.55,Rural,
Chhattisgarh,2019-09-30, Monthly,8.33,6490776.0,43.38,Rural,
Chhattisgarh,2019-10-31, Monthly,6.96,7043840.0,46.28,Rural,
Chhattisgarh,2019-11-30, Monthly,2.77,6942931.0,43.56,Rural,
Chhattisgarh,2019-12-31, Monthly,6.11,6569385.0,42.59,Rural,
Delhi,2019-05-31, Monthly,12.56,169487.0,42.33,Rural,
Delhi,2019-06-30, Monthly,9.33,149076.0,35.74,Rural,
Delhi,2019-07-31, Monthly,11.07,166605.0,40.53,Rural,
Delhi,2019-08-31, Monthly,17.18,135407.0,35.21,Rural,
Delhi,2019-09-30, Monthly,12.5,166056.0,40.68,Rural,
Delhi,2019-10-31, Monthly,15.84,149511.0,37.9,Rural,
Delhi,2019-11-30, Monthly,11.11,178768.0,42.71,Rural,
Delhi,2019-12-31, Monthly,16.97,145671.0,37.08,Rural,
Goa,2019-05-31, Monthly,2.91,179340.0,39.16,Rural,
Goa,2019-06-30, Monthly,5.45,170471.0,38.19,Rural,
Goa,2019-07-31, Monthly,10.98,167437.0,39.81,Rural,
Goa,2019-08-31, Monthly,1.98,183603.0,39.61,Rural,
Goa,2019-09-30, Monthly,3.61,163215.0,35.78,Rural,
Goa,2019-10-31, Monthly,7.21,177440.0,40.36,Rural,
Goa,2019-11-30, Monthly,23.71,159489.0,44.09,Rural,
Goa,2019-12-31, Monthly,3.54,177155.0,38.7,Rural,
Gujarat,2019-05-31, Monthly,2.88,13954728.0,52.03,Rural,
Gujarat,2019-06-30, Monthly,4.77,13199281.0,50.12,Rural,
Gujarat,2019-07-31, Monthly,4.58,14327083.0,54.21,Rural,
Gujarat,2019-08-31, Monthly,3.7,13507342.0,50.57,Rural,
Gujarat,2019-09-30, Monthly,6.29,13280783.0,51.01,Rural,
Gujarat,2019-10-31, Monthly,4.91,13828512.0,52.27,Rural,
Gujarat,2019-11-30, Monthly,4.68,14487815.0,54.55,Rural,
Gujarat,2019-12-31, Monthly,3.46,13877825.0,51.51,Rural,
Haryana,2019-05-31, Monthly,14.54,5249186.0,45.12,Rural,
Haryana,2019-06-30, Monthly,23.08,4745178.0,45.23,Rural,
Haryana,2019-07-31, Monthly,16.22,4826560.0,42.17,Rural,
Haryana,2019-08-31, Monthly,30.94,4558306.0,48.23,Rural,
Haryana,2019-09-30, Monthly,16.36,5127956.0,44.72,Rural,
Haryana,2019-10-31, Monthly,24.17,4798833.0,46.07,Rural,
Haryana,2019-11-30, Monthly,16.59,4875763.0,42.48,Rural,
Haryana,2019-12-31, Monthly,29.56,4603484.0,47.4,Rural,
Himachal Pradesh,2019-05-31, Monthly,13.68,2045760.0,44.23,Rural,
Himachal Pradesh,2019-06-30, Monthly,11.43,1957081.0,41.18,Rural,
Himachal Pradesh,2019-07-31, Monthly,20.59,1916824.0,44.91,Rural,
Himachal Pradesh,2019-08-31, Monthly,18.56,1969248.0,44.91,Rural,
Himachal Pradesh,2019-09-30, Monthly,15.98,2039804.0,45.02,Rural,
Himachal Pradesh,2019-10-31, Monthly,15.81,1946957.0,42.81,Rural,
Himachal Pradesh,2019-11-30, Monthly,22.86,2024409.0,48.5,Rural,
Himachal Pradesh,2019-12-31, Monthly,19.46,1922821.0,44.05,Rural,
Jammu & Kashmir,2019-05-31, Monthly,12.78,2495186.0,40.57,Rural,
Jammu & Kashmir,2019-06-30, Monthly,12.09,2423742.0,39.02,Rural,
Jammu & Kashmir,2019-07-31, Monthly,13.67,2549316.0,41.71,Rural,
Jammu & Kashmir,2019-08-31, Monthly,11.32,2778624.0,44.17,Rural,
Jammu & Kashmir,2019-10-31, Monthly,19.27,2477621.0,43.08,Rural,
Jammu & Kashmir,2019-11-30, Monthly,14.73,2415724.0,39.69,Rural,
Jharkhand,2019-05-31, Monthly,7.11,7035766.0,39.04,Rural,
Jharkhand,2019-06-30, Monthly,8.46,7319782.0,41.12,Rural,
Jharkhand,2019-07-31, Monthly,9.98,6958404.0,39.66,Rural,
Jharkhand,2019-08-31, Monthly,12.06,7015356.0,40.83,Rural,
Jharkhand,2019-09-30, Monthly,7.12,7500122.0,41.24,Rural,
Jharkhand,2019-10-31, Monthly,6.57,7761243.0,42.33,Rural,
Jharkhand,2019-11-30, Monthly,8.07,7279628.0,40.26,Rural,
Jharkhand,2019-12-31, Monthly,15.15,6873437.0,41.09,Rural,
Karnataka,2019-05-31, Monthly,5.46,13911440.0,46.36,Rural,
Karnataka,2019-06-30, Monthly,5.98,12888490.0,43.12,Rural,
Karnataka,2019-07-31, Monthly,0.52,12169808.0,38.42,Rural,
Karnataka,2019-08-31, Monthly,0.37,12686470.0,39.93,Rural,
Karnataka,2019-09-30, Monthly,3.2,13741892.0,44.45,Rural,
Karnataka,2019-10-31, Monthly,7.13,12803527.0,43.1,Rural,
Karnataka,2019-11-30, Monthly,1.19,11537217.0,36.45,Rural,
Karnataka,2019-12-31, Monthly,0.41,12756132.0,39.92,Rural,
Kerala,2019-05-31, Monthly,6.63,5184355.0,38.07,Rural,
Kerala,2019-06-30, Monthly,9.0,5605627.0,42.19,Rural,
Kerala,2019-07-31, Monthly,4.95,4855393.0,34.96,Rural,
Kerala,2019-08-31, Monthly,10.32,5233449.0,39.9,Rural,
Kerala,2019-09-30, Monthly,5.35,5400499.0,38.97,Rural,
Kerala,2019-10-31, Monthly,9.14,5328825.0,40.02,Rural,
Kerala,2019-11-30, Monthly,5.0,4557906.0,32.71,Rural,
Kerala,2019-12-31, Monthly,10.77,5065804.0,38.67,Rural,
Madhya Pradesh,2019-05-31, Monthly,3.63,15349838.0,37.97,Rural,
Madhya Pradesh,2019-06-30, Monthly,4.25,16294794.0,40.48,Rural,
Madhya Pradesh,2019-07-31, Monthly,3.92,16274707.0,40.2,Rural,
Madhya Pradesh,2019-08-31, Monthly,4.94,16559137.0,41.25,Rural,
Madhya Pradesh,2019-09-30, Monthly,3.08,16159315.0,39.4,Rural,
Madhya Pradesh,2019-10-31, Monthly,2.98,17060638.0,41.46,Rural,
Madhya Pradesh,2019-11-30, Monthly,2.72,16306428.0,39.44,Rural,
Madhya Pradesh,2019-12-31, Monthly,2.94,16854647.0,40.77,Rural,
Maharashtra,2019-05-31, Monthly,3.67,23896858.0,47.11,Rural,
Maharashtra,2019-06-30, Monthly,4.34,23056511.0,45.69,Rural,
Maharashtra,2019-07-31, Monthly,3.66,24843750.0,48.8,Rural,
Maharashtra,2019-08-31, Monthly,3.76,26835389.0,52.67,Rural,
Maharashtra,2019-09-30, Monthly,4.4,25219281.0,49.74,Rural,
Maharashtra,2019-10-31, Monthly,3.81,24330249.0,47.61,Rural,
Maharashtra,2019-11-30, Monthly,3.68,24881383.0,48.53,Rural,
Maharashtra,2019-12-31, Monthly,3.03,26357625.0,50.98,Rural,
